"No.","Time","Source","Destination","Protocol","Length","Info"
"1229","4.175565482","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1230","4.175585177","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1231","4.175599814","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1232","4.178733921","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1233","4.178734091","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1234","4.178734108","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1235","4.178734125","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1236","4.178734141","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1237","4.178734158","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1238","4.178734175","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1239","4.178824732","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1240","4.179239814","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1241","4.179239885","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1242","4.179239902","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1243","4.179239920","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1244","4.179239937","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1245","4.179312992","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1246","4.180940773","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1247","4.180940936","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1248","4.180940980","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1249","4.180941024","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1250","4.180941067","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1251","4.180941110","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1252","4.180941154","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1253","4.180941197","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1254","4.180993533","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1255","4.180993706","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1256","4.180993780","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1257","4.180993877","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1258","4.180993922","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1259","4.181037493","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
